feature,importance
WRITE_EXTERNAL_STORAGE,1224
android.content.pm.PackageInfo,1066
Ljava.lang.Object.getClass,991
READ_PHONE_STATE,965
INTERNET,965
ACCESS_NETWORK_STATE,868
TelephonyManager.getDeviceId,750
onBind,689
HttpGet.init,670
HttpUriRequest,643
mount,640
Binder,639
ACCESS_WIFI_STATE,623
android.intent.action.BOOT_COMPLETED,580
WAKE_LOCK,567
ACCESS_FINE_LOCATION,456
Ljava.lang.Class.getMethod,446
HttpPost.init,445
TelephonyManager.getSubscriberId,423
TelephonyManager.getLine1Number,384
ACCESS_COARSE_LOCATION,374
Runtime.getRuntime,368
Runtime.exec,365
Landroid.content.Context.registerReceiver,364
ClassLoader,356
Ljava.lang.Class.getResource,348
Ljava.lang.Class.forName,336
VIBRATE,328
Ljava.lang.Class.getDeclaredField,315
RECEIVE_BOOT_COMPLETED,314
Ljava.net.URLDecoder,302
GET_TASKS,301
IBinder,297
READ_CONTACTS,297
System.loadLibrary,290
WRITE_SETTINGS,283
SEND_SMS,274
chmod,261
KeySpec,254
android.os.Binder,243
GET_ACCOUNTS,227
Ljavax.crypto.spec.SecretKeySpec,220
Landroid.content.Context.unregisterReceiver,220
TelephonyManager.getNetworkOperator,215
TelephonyManager.getSimSerialNumber,212
BIND_INPUT_METHOD,212
android.telephony.SmsManager,208
Ljava.lang.Class.getField,207
CAMERA,205
CALL_PHONE,193
Ljava.lang.Class.getPackage,189
WRITE_HISTORY_BOOKMARKS,185
Ljavax.crypto.Cipher,184
READ_SMS,184
CHANGE_WIFI_STATE,166
transact,162
Ljava.lang.Class.getCanonicalName,156
SET_WALLPAPER,149
onServiceConnected,148
TelephonyManager.getSimOperator,148
/system/bin,147
TelephonyManager.isNetworkRoaming,147
android.telephony.gsm.SmsManager,138
findClass,135
CHANGE_NETWORK_STATE,135
PackageInstaller,135
INSTALL_PACKAGES,132
DISABLE_KEYGUARD,125
Ljava.lang.Class.cast,123
getBinder,120
RESTART_PACKAGES,120
WRITE_CONTACTS,120
Ljava.lang.Class.getMethods,119
android.intent.action.PACKAGE_REPLACED,109
BIND_WALLPAPER,103
SecretKey,97
MODIFY_PHONE_STATE,94
android.content.pm.Signature,92
bindService,91
READ_HISTORY_BOOKMARKS,88
ProcessBuilder,88
abortBroadcast,87
RECORD_AUDIO,86
sendMultipartTextMessage,85
attachInterface,83
BLUETOOTH,82
remount,81
android.intent.action.PACKAGE_ADDED,80
TelephonyManager.getSimCountryIso,77
android.intent.action.SEND,76
BROADCAST_STICKY,72
WRITE_SMS,71
android.os.IBinder,71
divideMessage,70
READ_USER_DICTIONARY,70
SYSTEM_ALERT_WINDOW,70
READ_EXTERNAL_STORAGE,65
MANAGE_ACCOUNTS,64
READ_LOGS,61
ServiceConnection,59
RECEIVE_SMS,58
android.intent.action.TIME_SET,57
WRITE_APN_SETTINGS,54
WRITE_SECURE_SETTINGS,53
READ_SYNC_SETTINGS,50
ACCESS_LOCATION_EXTRA_COMMANDS,50
